strEcu,strLabLong,strLab,numIdTstr,numIdGtwy,numSid,numDid,numDwnSamp,numBytes,strtByte,lenByte,strDbc,strType,numFac,numOfs,stIntp,stUse1,stUse2,stUse3,stUse4,stRvt,numMtyLvl,strCmnt,strName
198,Powerline Kommunikation: Ladeablauf Zustand,stPwrLine,1860,1966,34,18785,1,1,0,8,7|8@0,uint,1,0,0,0,1,1,0,1,,,ID3
198,HV-Ladestrom Sollwert,cuHvBatChrgSet,1860,1966,34,16952,1,2,0,16,7|16@0,uint,10,0,1,0,1,1,0,1,,,ID3
198,Steckdose A für Batterieladung-Status Steckererkennung,stScktAPlug,1860,1966,34,7642,5,5,0,16,7|16@0,uint,1,0,0,0,1,1,0,1,,,ID3
198,Steckdose A für Batterieladung-Ansteuerung Ladedeckelverriegelung Ladedose A,stScktALck,1860,1966,34,7642,5,5,0,16,7|16@0,uint,1,0,0,0,1,1,0,1,,,ID3
198,Hochvolt-Ladegerät - aktuelle Ausgangsspannung,uHcChrgr,1860,1966,34,7591,1,2,0,16,7|16@0,uint,10,0,1,0,1,1,0,1,,,ID3
198,Kühlmitteltemperatur,tClnt,1860,1966,34,5602,5,1,0,8,7|8@0,uint,1,0,1,0,1,1,0,1,,,ID3
198,Spannung Ladedose A: Proximity,uScktAProx,1860,1966,34,5413,1,2,0,16,7|16@0,uint,1,0,1,1,1,1,0,1,,,ID3
198,Energieumsatz pro Rail-Phase 1,wRail1,1860,1966,34,5383,2,9,0,24,7|24@0,uint,10,0,1,0,1,1,0,0,,,ID3
198,Energieumsatz pro Rail-Phase 2,wRail2,1860,1966,34,5383,2,9,24,24,31|24@0,uint,10,0,1,0,1,1,0,0,,,ID3
198,Energieumsatz pro Rail-Phase 3,wRail3,1860,1966,34,5383,2,9,48,24,55|24@0,uint,10,0,1,0,1,1,0,0,,,ID3
198,HV_DC_current_obc,curHvDcObc,1860,1966,34,4157,1,2,0,16,7|16@0,uint,10,0,1,0,1,1,0,1,,,ID3
198,DC/DC-Wandler Temperaturwerte-Sensor 1,tDcDcSens1,1860,1966,34,2063,5,6,8,8,15|8@0,uint,9.9565,0,1,0,1,1,0,1,,,ID3
198,DC/DC-Wandler Temperaturwerte-Sensor 2,tDcDcSens2,1860,1966,34,2063,5,6,24,8,31|8@0,uint,9.9565,0,1,0,1,1,0,1,,,ID3
198,DC/DC-Wandler Temperaturwerte-Sensor 3,tDcDcSens3,1860,1966,34,2063,1,6,40,8,47|8@0,uint,9.9565,0,1,0,1,1,0,1,,,ID3
198,Hochvolt DC-Spannungswerte-Sensor 1,uHvDcSens1,1860,1966,34,2061,1,6,0,16,7|16@0,uint,10,0,1,0,1,1,0,0,,,ID3
198,Hochvolt DC-Spannungswerte-Sensor 2,uHvDcSens2,1860,1966,34,2061,1,6,16,16,23|16@0,uint,10,0,1,0,1,1,0,0,,,ID3
198,Hochvolt DC-Spannungswerte-Sensor 3,uHvDcSens3,1860,1966,34,2061,1,6,32,16,39|16@0,uint,10,0,1,0,1,1,0,0,,,ID3
8,Lenkradheizung-PWM-Wert,rPwmStrgWhl,1862,1968,34,21765,2,5,16,8,23|8@0,uint,1,0,1,1,0,1,0,1,,,ID3
8,Versorgungsspannung 2 für externe Komponenten,uExt2,1862,1968,34,20761,1,1,0,8,7|8@0,uint,10,0,1,0,0,1,0,0,,,ID3
8,Sitzheizung vorn rechts-Leistungskontingentierung durch Energiemanagement,unknown6,1862,1968,34,15072,2,27,0,8,7|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Sitzheizung vorn rechts-Sitzlehnenheizung: Stromaufnahme (Effektivwert),unknown5,1862,1968,34,15072,2,27,0,8,7|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Sitzheizung vorn rechts-Sitzkissenheizung: Stromaufnahme (Effektivwert),curSeatFrntRight,1862,1968,34,15072,2,27,128,8,135|8@0,uint,10,0,1,1,0,1,0,1,,,ID3
8,Sitzheizung vorn links-Leistungskontingentierung durch Energiemanagement,unknown4,1862,1968,34,15071,2,27,0,8,7|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Sitzheizung vorn links-Sitzlehnenheizung: Stromaufnahme (Effektivwert),unknown3,1862,1968,34,15071,2,27,0,8,7|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Sitzheizung vorn links-Sitzkissenheizung: Stromaufnahme (Effektivwert),curSeatFrntLeft,1862,1968,34,15071,2,27,128,8,135|8@0,uint,10,0,1,1,0,1,0,1,,,ID3
8,Versorgungsspannung für externe Komponenten,uExt,1862,1968,34,9825,1,1,0,8,7|8@0,uint,10,0,1,0,0,1,0,0,,,ID3
8,Gebläsestrom,curFan,1862,1968,34,9820,1,1,0,8,7|8@0,uint,4,0,1,1,1,1,0,1,,,ID3
8,Innentemperatur,tCab,1862,1968,34,9747,5,2,0,16,7|16@0,uint,5,40,1,1,1,1,0,1,,,ID3
8,Außentemperatur intern berechnet,tAmbCalc,1862,1968,34,9738,5,1,0,8,7|8@0,uint,2,50,1,0,0,1,0,1,,,ID3
8,Außentemperatur,tAmb,1862,1968,34,9737,5,1,0,8,7|8@0,uint,2,50,1,1,1,1,1,1,,,ID3
8,Kühlerlüfteransteuerung: Sollwert,rFanDes,1862,1968,34,9735,2,1,0,8,7|8@0,uint,2.5,0,1,0,0,1,0,1,,,ID3
8,Kompressorlast,tqCmpr,1862,1968,34,9732,1,1,0,8,7|8@0,uint,1,0,1,1,1,1,0,0,,,ID3
8,Kompressordrehzahl,nCmpr,1862,1968,34,9731,1,1,0,8,7|8@0,uint,0.02,0,1,1,1,1,0,1,,,ID3
8,Reichweitenverbrauchsprognose-Zeit bis zum Übergang vom dynamischen in stationären Betrieb,tiRngDynStat2,1862,1968,34,2199,5,12,0,8,7|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Reichweitenverbrauchsprognose-Änderung der Prädiktion iniziiert durch Kundenaktion,tiRngDynStat1,1862,1968,34,2199,5,12,8,8,15|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Reichweitenverbrauchsprognose-Dynamsiche Leistung für Heizen / Kühlen,pwrRngDyn2,1862,1968,34,2199,5,12,24,8,31|8@0,uint,0.1,0,1,0,0,1,0,0,,,ID3
8,Reichweitenverbrauchsprognose-Stationäre Leistung für Heizen / Kühlen,pwrRngDyn1,1862,1968,34,2199,5,12,32,16,39|16@0,uint,0.1,0,1,0,0,1,0,0,,,ID3
8,Reichweitenverbrauchsprognose-Verbrauch für Heizen und Kühlen der Bauteile,consRngComp,1862,1968,34,2199,5,12,56,8,63|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Reichweitenverbrauchsprognose-1-Bit Verbrauch Bauteil,unknown2,1862,1968,34,2199,5,12,64,8,71|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Reichweitenverbrauchsprognose-Verbrauch für Heizen und Kühlen Innenraum,consRngCab,1862,1968,34,2199,5,12,72,16,79|16@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Reichweitenverbrauchsprognose-1-Bit Verbrauch Innenraum,unknown1,1862,1968,34,2199,5,12,88,8,95|8@0,uint,1,0,1,0,0,1,0,0,,,ID3
8,Hochvolt-Luftheizer Status: intern-Strom: Istwert,curAirHeater,1862,1968,34,2049,1,8,0,8,7|8@0,uint,4,0,0,1,1,1,0,1,,,ID3
8,Hochvolt-Luftheizer Status: intern-Versorgungsspannung,stUHvHeat,1862,1968,34,2049,2,8,16,8,23|8@0,uint,1,0,0,0,0,1,0,1,,,ID3
