strEcu ,strLabLong                                                       ,strLab                           ,numIdTstr ,numIdGtwy ,numSid ,numDid ,numDwnSamp ,numBytes ,strDbc   ,strType ,numFac       ,numOfs  ,stIntp ,stUse1 ,stUse2 ,stUse3 ,stUse4 ,stRvt ,numMtyLvl ,strCmnt                                                           ,strName
       ,Battery Voltage                                                  ,uBat                             ,     2001 ,     2009 ,    33 , 20761 ,         1 ,       2 ,7|16@0   ,uint    ,  819.642    ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,Total Distance Traveled                                          ,distTotalTraveled                ,     2001 ,     2009 ,    33 ,    40 ,         1 ,       3 ,7|24@0   ,uint    ,    1        ,-117950 ,     1 ,     1 ,       ,       ,       ,    1 ,          ,merkwürdiges Offset                                               ,Mirai
       ,EV System Wakeup Signal                                          ,EVSysWakeUpSig                   ,     2001 ,     2009 ,    33 ,    65 ,         1 ,       1 ,7|8@0    ,uint    ,    1        ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Related Parts Drive Voltage                                   ,uFCRelatedPartsDrive             ,     2001 ,     2009 ,    33 ,    66 ,         1 ,       2 ,7|16@0   ,uint    ,  819.642    ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,ECU Internal Voltage                                             ,uECUInternal                     ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,95|8@0   ,uint    ,   10        ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Current                                                       ,curFC2                           ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,23|16@0  ,uint    ,  100        ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Intermittent Operation                                        ,FCIntermittentOperation          ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,54|1@0   ,uint    ,  192        ,0       ,     0 ,     1 ,       ,       ,       ,    1 ,          ,eigentlich das 0 basiert 6. bit (2. höchste Stelle) in Byte 7     ,Mirai
       ,FC Mode                                                          ,FCMode                           ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,47|8@0   ,uint    ,    1        ,0       ,     0 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Stack Cell Average Minimum Voltage                            ,uFCStaCelAveMin                  ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,103|16@0 ,uint    ,  819.277    ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Stack Cell Minimum Average Voltage Cell Channel No            ,numFCStaCellAveMinUCh            ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,135|8@0  ,uint    ,    1        ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Stack Cell Minimum Voltage                                    ,uFCStaCellMin                    ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,119|16@0 ,uint    ,  819.277    ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Stack Cell Minimum Voltage Cell Channel No                    ,numFCStaCellMinUCh               ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,143|8@0  ,uint    ,    1        ,0       ,     0 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Stack Power Generation Mode                                   ,FCStaPwrGenMode                  ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,79|8@0   ,uint    ,    1        ,0       ,     0 ,     1 ,       ,       ,       ,    1 ,          ,kann ich nicht 100% mit FCIntermittentOperation auseinanderhalten ,Mirai
       ,FC Total Voltage                                                 ,uFCTotal                         ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,151|16@0 ,uint    ,   10        ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,FC Voltage before Boosting                                       ,uFCBB                            ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,7|16@0   ,uint    ,   10        ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,Shift Sensor Shift Position                                      ,PosShiftSensShift                ,     2001 ,     2009 ,    33 ,    80 ,         1 ,      32 ,183|8@0  ,uint    ,    1        ,0       ,     0 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,Hydrogen Pump Motor Temperature                                  ,tH2PumpMot                       ,     2001 ,     2009 ,    33 ,    97 ,         1 ,       3 ,23|8@0   ,uint    ,    1        ,40      ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,Hydrogen Pump Motor Temperature Sensor Voltage                   ,uTH2PumpMotSens                  ,     2001 ,     2009 ,    33 ,    97 ,         1 ,       3 ,7|16@0   ,uint    ,12800        ,0       ,     1 ,     1 ,       ,       ,       ,    1 ,          ,krieg ich nicht gut zugeordnet                                    ,Mirai
       ,High-range Hydrogen Pressure                                     ,pH2High                          ,     2001 ,     2009 ,    33 ,    99 ,         1 ,      16 ,87|16@0  ,uint    ,  500        ,0.58    ,     1 ,     1 ,       ,       ,       ,    1 ,          ,                                                                  ,Mirai
       ,High-range Hydrogen Pressure Sensor Voltage                      ,uPH2HighSens                     ,     2001 ,     2009 ,    33 ,    99 ,         1 ,      16 ,71|16@0  ,uint    , 6400        ,1.79    ,     1 ,     1 ,       ,       ,       ,    1 ,          ,krieg ich nicht gut zugeordnet                                    ,Mirai
