timestamp,stPwrLine,cuHvBatChrgSet,stScktALck,uHcChrgr,curHvDcObc,rPwmStrgWhl,uExt2,uExt,curAirHeater,rApp,tqRearAxleDes,stFrntAxle,pwrClntPmpHvBat,uChrgMax,uDchrgMin,tHvBat,cur2HvBat,curHvBat1,uSumCell,uHvBat,uPosHvBatChrgCtctr,uPosHvBatCtctr,uPosHvBat,numUCellMin1,uCellMin1,numUCellMax1,uCellMax1,cbHvBatChrg,cbHvBatDchrg,wHvBatChrg,wHvBatDchrg,numChrgMin1,chrgMin1,numChrgMax1,chrgMax1,curLimDynDchrg,curChrgLimDyn,numTMinHvBat,tMinHvBat,numTMaxHvBat,tMaxHvBat,stPwrRed2,tClntHvBatIn,tClntHvBatOut,uHvBatCtctr,curPtcHvBat,stTerm15,rSocBat2,vVeh3,stInvDchrgReq
1788966910.271202,0,0,17923,426,0,0,5,5,0,14,0,15,3,459,270,21,0,0,430,430,2047,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,6,21,1,22,0,22,22,430,0,1,79,0,0
1788966910.601217,0,0,17923,426,0,0,5,5,0,14,0,15,3,459,270,21,0,0,430,430,2047,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966910.931230,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,1122,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966911.261240,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,899,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966911.601251,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,2047,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966911.931269,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,1121,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,6,21,1,22,0,22,22,430,0,1,79,0,0
1788966912.261278,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966912.591289,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966912.921302,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966913.251316,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,22,430,0,1,79,0,0
1788966913.581338,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966913.911343,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966914.241381,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966914.571364,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966914.901384,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,11,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966915.231391,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,9,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966915.561404,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966915.891413,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,11,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966916.221427,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,9,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966916.551510,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966916.881454,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,32,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966917.211473,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,44,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966917.541479,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966917.871486,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,11,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966918.201503,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,9,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966918.531513,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,15,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
1788966918.861526,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,11,3,4862,7804360,2044,498090,66,78,14,79,3536,226,6,21,1,22,0,22,23,430,0,1,79,0,0
1788966919.191535,0,0,17923,426,0,0,5,5,0,14,0,15,4,459,270,21,0,0,430,430,0,430,430,67,3,9,3,4862,7804360,2044,498090,66,78,14,79,3536,226,11,21,1,22,0,22,23,430,0,1,79,0,0
